Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanApr,Annual,Amelanchier_cadensis,Cichorium_intybus,Erigeron_cadensis,Erigeron_pulchellus,Vaccinium_corymbosum
1893,-7.9,NA,-0.4,5.7,12.4,17.4,20.3,19.9,14,11.3,4.1,-1.8,-1.1,8.64,134,190,211,148,141
1894,-2.4,-4.8,4.2,7,13.5,19.1,22.5,19.1,17.7,10.9,1.7,-1.3,2.3,8.93,119,175,196,136,125
1895,-3.6,-6,-0.4,6.7,14.6,18.9,19.3,20.6,17.8,8.1,6.1,0.4,1.55,8.54,125,181,174,146,132
1896,-5.7,-3.2,-1.7,8,14.9,17.3,20.9,20.3,15.5,8.6,7,-2.9,1.15,8.25,120,180,199,138,130
1897,-3.7,-2.4,1.2,8,13.1,15.6,20.7,19.3,15.8,11.2,3.9,-0.8,2.15,8.49,115,185,199,142,122
1898,-3.6,-1.2,4.8,4.9,12.2,17.7,21,21.3,18,11,4.2,-2,0.65,9.03,121,181,205,139,121
1899,-3.2,-5.2,-0.2,7.7,13.4,19.9,21.2,19.7,15.7,10.9,4.2,0.4,2.25,8.71,120,176,183,132,127
1900,-2.3,-3,-0.6,7.6,12,18.9,21.8,21.2,17.9,12.7,5.7,-1.1,2.65,9.23,124,184,169,143,138
1901,-4.5,-6.4,0.8,5.6,11.8,19.3,22.2,20.8,17.6,12.2,0.3,-1.7,0.55,8.17,128,186,188,145,128
1902,-4.4,-3.4,5.1,8,13.7,16.9,18.9,18.8,16.3,10.8,6.7,-3.1,1.8,8.69,118,182,187,130,110
1903,-3.2,-1.7,6.2,7.8,14.5,14.8,20.7,17.1,16.9,10.8,2.6,-4.1,2.3,8.53,116,NA,NA,NA,116
2003,-6.8,-5,1.5,5.9,12.4,17.8,22.7,22.5,17.9,10,6.4,0.4,-0.45,8.81,122,190,208,162,128
2004,-8.5,-2.4,2.6,8.2,14.8,18.2,20.9,21.1,17.6,10.7,5.3,-0.3,-0.15,9.02,120,186,199,135,120
2005,-4.5,-1.5,0.2,9.7,10.7,20.1,22.3,23.3,19.2,11.3,6.9,-1.2,2.6,9.71,116,188,194,144,116
2006,0.9,-1.6,2.4,9.7,13.3,19.3,23.6,20.8,16.9,10.9,8.4,3.4,5.3,10.67,111,NA,NA,144,111